city_name,temperature,pressure,wind_speed
jaipur,25.62,1012,3.6
jaipur,25.62,1012,3.09,50
jaipur,25.62,1012,3.09,50
jaipur,25.62,1012,3.09,50
jaipur,25.62,1012,2.57,47
jaipur,25.62,1012,2.57,47
jaipur,25.62,1012,2.57,47
jaipur,24.62,1012,2.06,50
